# 0 value for normalisation
# Oxs_UZeeman::Bx Oxs_UZeeman::By Oxs_UZeeman::Bz Oxs_TimeDriver::Mx Oxs_TimeDriver::My Oxs_TimeDriver::Mz 
886.6450076155128 -1773.290015231026 2659.935022846538 469965.3306848895 -617140.3075091121 1194696.506398926 
896.720519065689 -1793.441038131378 2690.161557197066 468669.6217041536 -619393.6969889625 1194039.173319717 
906.7960305158655 -1813.592061031731 2720.388091547596 467410.1983450191 -621579.1201617075 1193397.007479936 
916.8715419660417 -1833.743083932083 2750.614625898125 466185.5959480334 -623699.5416701694 1192769.544149665 
926.947053416218 -1853.894106832436 2780.841160248654 464994.4251502251 -625757.7602777517 1192156.333553357 
937.0225648663942 -1874.045129732788 2811.067694599182 463835.3580938218 -627756.4113695624 1191556.94877181 
947.0980763165707 -1894.196152633141 2841.294228949711 462707.1612990205 -629698.0116183113 1190970.952897907 
957.1735877667469 -1914.347175533494 2871.520763300241 461608.6268720482 -631584.9082760911 1190397.955658183 
967.2490992169231 -1934.498198433846 2901.747297650769 460538.6330644099 -633419.3482967949 1189837.556248091 
977.3246106670994 -1954.649221334199 2931.973832001298 459496.112350367 -635203.461082841 1189289.367380067 
987.4001221172758 -1974.800244234552 2962.200366351828 458480.0245592988 -636939.2382519207 1188753.038883673 
997.4756335674521 -1994.951267134904 2992.426900702355 457489.4035572634 -638628.5948003839 1188228.209198935 
1007.551145017628 -2015.102290035257 3022.653435052885 456523.3210122568 -640273.3396524822 1187714.53704255 
